sample_size,mean_pi,c_dim,param1,param2,risk_diff_m0,risk_diff_m1,risk_diff
5000000,0.41447959715432403,15,1.29,1.05,0.02469639698867383,0.025076750945390858,0.024854045943429957
5000000,0.41447959715432403,15,1.29,1.29,0.025016902915463084,-1.468876793404828e-17,0.014647907073013104
5000000,0.41447959715432403,15,1.29,1.6,0.025285492062322376,-0.024726698129234895,0.004556459618920283
5000000,0.41447959715432403,15,1,0.815,0,0.025355760509418953,0.010509445401485485
5000000,0.41447959715432403,15,1,1,0,0,0
5000000,0.41447959715432403,15,1,1.24,0,-0.025140311286299146,-0.010420146094279575
5000000,0.41447959715432403,15,0.765,0.625,-0.024587142390018083,0.02549191151924802,-0.0038303962998357936
5000000,0.41447959715432403,15,0.765,0.765,-0.02499782071517516,2.2630505741997913e-17,-0.014636734055413334
5000000,0.41447959715432403,15,0.765,0.945,-0.025357384306547916,-0.02515773363312698,-0.025274633175856816
5000000,0.40642376546549513,10,1.291,1.06,0.024570291528777804,0.0250739280151737,0.024774981366004638
5000000,0.40642376546549513,10,1.291,1.291,0.025051558537554086,-1.7127275866410688e-17,0.014870009785942075
5000000,0.40642376546549513,10,1.291,1.59,0.025505445460191088,-0.02498592115200217,0.004984554118164726
5000000,0.40642376546549513,10,1,0.825,0,0.02496184137294582,0.010145085563745024
5000000,0.40642376546549513,10,1,1,0,0,0
5000000,0.40642376546549513,10,1,1.23,0,-0.02536327056136105,-0.0103082359260685
5000000,0.40642376546549513,10,0.761,0.63,-0.024495831127153478,0.025029696080162464,-0.004367479872892307
5000000,0.40642376546549513,10,0.761,0.761,-0.025048351536523288,0,-0.014868106186346073
5000000,0.40642376546549513,10,0.761,0.93,-0.02558289386149927,-0.02513572042272293,-0.025401151948695636
5000000,0.39522235476777084,5,1.31,1.08,0.024571037496449087,0.025234134522866807,0.024833108264669404
5000000,0.39522235476777084,5,1.31,1.31,0.025237063810786598,0,0.015262812024063026
5000000,0.39522235476777084,5,1.31,1.61,0.02592213099607912,-0.025259735658965127,0.00569391313526248
5000000,0.39522235476777084,5,1,0.83,0,0.02503071517982098,0.009892698194890234
5000000,0.39522235476777084,5,1,1,0,0,0
5000000,0.39522235476777084,5,1,1.22,0,-0.0251126276611127,-0.00992507183863122
5000000,0.39522235476777084,5,0.745,0.62,-0.024301703004200023,0.025411701727208146,-0.004653854122729645
5000000,0.39522235476777084,5,0.745,0.745,-0.025006634738907338,0,-0.015123453672578838
5000000,0.39522235476777084,5,0.745,0.9,-0.025713362533721723,-0.024656335438641777,-0.02529560179615089
